market,year,stock_nom,bond_nom,cpi
japan,2015,11.1657,1.7814,0.7922
japan,2016,0.52,16.2673,-0.114
japan,2017,21.94,-0.089,0.4862
japan,2018,-15.17,3.3489,0.9891
japan,2019,18.48,4.6603,0.4681
japan,2020,7.83,0.4445,-0.027
japan,2021,12.74,-0.5,-0.23
japan,2022,-2.51,-3.8,2.5
japan,2023,28.27,1.6,3.27
japan,2024,19.16,-2.8,2.74
japan,2025,9.31,1.0,2.95
uk,1871,26.19,4.5144,1.4
uk,1872,6.31,1.6216,4.7
uk,1873,4.97,4.3956,3.1
uk,1874,3.17,2.8533,-3.3
uk,1875,7.53,5.7299,-1.9
uk,1876,6.84,3.3289,-0.3
uk,1877,8.87,4.4548,-0.7
uk,1878,0.52,2.2981,-2.2
uk,1879,15.65,6.3576,-4.4
uk,1880,13.81,4.4929,3.0
uk,1881,16.68,3.5724,-1.1
uk,1882,1.56,4.5677,1.0
uk,1883,0.31,2.6658,-0.5
uk,1884,3.4,1.8209,-2.7
uk,1885,2.96,3.6948,-3.0
uk,1886,2.65,3.5,-1.6
uk,1887,3.17,4.1791,-0.5
uk,1888,13.61,0.885,0.7
uk,1889,9.22,3.8027,1.4
uk,1890,4.22,1.1831,0.2
uk,1891,-0.41,2.5105,0.7
uk,1892,0.43,5.1181,0.4
uk,1893,-0.09,3.5302,-0.7
uk,1894,10.75,7.9669,-2.0
uk,1895,12.32,6.1212,-1.0
uk,1896,12.21,6.8541,-0.3
uk,1897,6.83,3.8202,1.5
uk,1898,5.24,0.2772,0.3
uk,1899,4.67,-6.3456,0.7
uk,1900,9.46,-0.4351,5.1
uk,1901,4.91,-1.6046,0.5
uk,1902,5.89,1.9486,0.0
uk,1903,1.67,-2.7631,0.4
uk,1904,11.12,4.1458,-0.2
uk,1905,10.94,3.583,0.4
uk,1906,9.63,-1.0846,0.0
uk,1907,-0.16,0.0132,1.2
uk,1908,4.5682,3.5945,0.5
uk,1909,11.0602,1.818,0.5
uk,1910,1.4817,-1.3062,0.9
uk,1911,1.6036,0.225,0.1
uk,1912,3.4422,0.7547,3.0
uk,1913,-3.7963,-1.3174,-0.4
uk,1914,-0.064,4.4682,-0.3
uk,1915,2.6,3.4,12.5
uk,1916,-2.4708,-20.2986,18.1
uk,1917,9.5101,3.0637,25.2
uk,1918,20.7742,12.7967,22.0
uk,1919,9.5556,-8.4263,10.1
uk,1920,-21.3397,-7.3387,15.4
uk,1921,-0.7442,16.4649,-8.6
uk,1922,26.24,15.9672,-14.0
uk,1923,0.9125,4.2221,-6.0
uk,1924,20.1717,7.352,-0.7
uk,1925,15.1236,0.3139,0.3
uk,1926,6.5915,2.8755,-0.8
uk,1927,8.5782,7.1688,-2.4
uk,1928,16.4685,5.9311,-0.3
uk,1929,-14.2338,-1.5965,-0.9
uk,1930,-4.8602,13.1428,-2.8
uk,1931,-20.1314,-0.5443,-4.3
uk,1932,34.2286,40.3182,-2.6
uk,1933,24.4091,3.1661,-2.1
uk,1934,14.0471,27.6968,0.0
uk,1935,13.9908,-3.119,0.7
uk,1936,19.1972,0.2684,0.7
uk,1937,-13.0434,-9.2034,3.4
uk,1938,-9.7899,-2.1813,1.6
uk,1939,1.8271,0.954,2.8
uk,1940,-4.8895,15.9367,16.8
uk,1941,22.7333,10.5643,10.8
uk,1942,18.437,2.7593,7.1
uk,1943,11.04,-0.4982,3.4
uk,1944,12.45,5.725,2.7
uk,1945,6.4615,14.8149,2.8
uk,1946,17.7313,10.761,3.1
uk,1947,-2.5769,-14.3347,7.0
uk,1948,-3.6759,0.697,7.7
uk,1949,-5.7006,-8.9347,2.8
uk,1950,10.9574,4.0642,3.9185
uk,1951,8.2295,-9.6837,9.0498
uk,1952,-0.1412,-0.685,10.6501
uk,1953,24.4306,13.861,3.625
uk,1954,48.6165,6.0638,2.2919
uk,1955,10.8628,-10.1183,5.0708
uk,1956,-9.1641,-2.9814,5.1627
uk,1957,-0.9477,-6.3057,3.842
uk,1958,47.7424,17.0271,2.8777
uk,1959,54.8623,0.9832,0.5994
uk,1960,1.8391,-7.1032,0.7944
uk,1961,1.8128,-7.944,3.2512
uk,1962,0.379,24.7768,4.1985
uk,1963,19.8082,3.634,2.1062
uk,1964,-5.41,-2.3652,3.2287
uk,1965,11.1743,4.3927,4.2572
